Date-Time,HX_Example_Data_V11_v1?Hot_Liquid_Flow_Data,HX_Example_Data_V11_v1?Cold_Liquid_Flow_Data,HX_Example_Data_V11_v1?T_Hot_in_Data,HX_Example_Data_V11_v1?T_Cold_Out_Data,HX_Example_Data_V11_v1?T_Hot_out_Data,HX_Example_Data_V11_v1?T_Cold_In_Data
2016-05-21T00:00:00,182006.6458,722640.5771,475.50625,261.5839583,232.2235417,157.1654167
2016-05-22T00:00:00,157334.0704,735220.8492,472.961875,256.0022917,226.98375,152.0541667
2016-05-23T00:00:00,155218.3692,708049.22,469.25125,250.92125,221.9297917,147.0445833
2016-05-24T00:00:00,163645.2998,665077.11,463.1666667,244.51375,217.9170833,145.9089583
2016-05-25T00:00:00,153989.1627,659565.2723,459.21375,239.7377083,215.5420833,145.99125
2016-05-26T00:00:00,160809.4463,689778.1302,461.8652083,239.9260417,215.1395833,144.4714583
2016-05-27T00:00:00,174858.4435,721171.2046,466.5527083,245.365625,218.7870833,145.4804167
2016-05-28T00:00:00,182013.5617,734189.3279,467.4902083,251.04,224.40875,150.751875
2016-05-29T00:00:00,182011.0617,735259.641,467.2897917,254.0197917,228.320625,155.7541667
2016-05-30T00:00:00,182020.5763,712335.6181,468.9945833,259.1914583,232.5435417,159.194375
2016-05-31T00:00:00,182009.0463,699635.61,469.3125,259.7014583,232.2170833,157.6597917
2016-06-01T00:00:00,181989.5815,702318.5615,468.3822917,256.375625,228.8804167,154.2904167
2016-06-02T00:00:00,182002.2417,698148.6196,468.3720833,256.0497917,228.1635417,153.9077083
2016-06-03T00:00:00,182022.2675,715777.6363,468.4720833,256.3579167,229.7029167,156.6575
2016-06-04T00:00:00,182021.0538,733491.6635,469.004375,257.4983333,232.3895833,160.3591667
